ID,Titre,URL,Thumbnail,Created_at
KnPcMn-EgiE,200 GRILLES de BLUES expliquées,https://youtu.be/KnPcMn-EgiE,https://i.ytimg.com/vi/KnPcMn-EgiE/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCNnsHCkN5KHwPhSCEiwHYbyMg4yQ,
g09kJkOP0Lk,ACCORD Majeur - HENDRIX style,https://youtu.be/g09kJkOP0Lk,https://i.ytimg.com/vi/g09kJkOP0Lk/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDp6dSNrlFD4Gql-sLLFPFNTJMq5g,
RRCSI-vlZCc,Je N'ARRIVE PAS à jouer Ça,https://youtu.be/RRCSI-vlZCc,https://i.ytimg.com/vi/RRCSI-vlZCc/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBNHX7aJLYdGdzECn0Dp_5QD36m0A,
9qbLLnpvXXY,Rythmique CAJUN du BAYOU,https://youtu.be/9qbLLnpvXXY,https://i.ytimg.com/vi/9qbLLnpvXXY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCLpm4xBwihntjahtMJXPdsrPpfrQ,
Dl8vfV_7mik,PROPHETS of RAGE - Tuto,https://youtu.be/Dl8vfV_7mik,https://i.ytimg.com/vi/Dl8vfV_7mik/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDwsZFWqqb8WlrpaDnNeDkjEAIIgg,
4PGMW1T9Pkk,ACCORDS magiques à la GUITARE,https://youtu.be/4PGMW1T9Pkk,https://i.ytimg.com/vi/4PGMW1T9Pkk/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA2UaWptdMbqVZerFMprje4pSF_0A,
Y-aWteNhp8Q,Gérer les TROLLS,https://youtu.be/Y-aWteNhp8Q,https://i.ytimg.com/vi/Y-aWteNhp8Q/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBDXND70P3JAv1flOLVD8KIFbYTKg,
tsm4dF6To5E,Des E mineurs MAGNIFIQUES,https://youtu.be/tsm4dF6To5E,https://i.ytimg.com/vi/tsm4dF6To5E/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBk2yAda8KP_e3fsV4bBgVyiQ1pnQ,
ClPoGE_3sAM,Exemple d’utilisation ACCORD de QUARTES,https://youtu.be/ClPoGE_3sAM,https://i.ytimg.com/vi/ClPoGE_3sAM/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCKyhN6Mni9HbnRercXyZKyOuw7AQ,
-RbLAMyeBUc,ENRICHIR facilement les accords à la GUITARE,https://youtu.be/-RbLAMyeBUc,https://i.ytimg.com/vi/-RbLAMyeBUc/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDCIPlfD3ddQwojgw2OzRJZarhswA,
